,start_node,end_node,osmid,maxspeed,highway,surface,lanes,oneway,geometry,name,smoothness,living_street,service,length (m),length (km),capacity (veh/h),maxspeed (km/h),flow_time (h),flow_time (s)
12618,8888965115,327776,path_8888965115,,,,,,"LINESTRING (30.3207785 59.8526878, 30.3211691 59.852401)",,,,,,,,,,
12619,8888968437,327804,path_8888968437,,,,,,"LINESTRING (30.3043126 59.8636106, 30.3052656 59.864014)",,,,,,,,,,
12620,8890853324,327806,path_8890853324,,,,,,"LINESTRING (30.3348945 59.8519475, 30.3358301 59.8521407)",,,,,,,,,,
12621,8892842016,327832,path_8892842016,,,,,,"LINESTRING (30.2815601 59.9401903, 30.2826565 59.9394902)",,,,,,,,,,
12622,8894905282,327833,path_8894905282,,,,,,"LINESTRING (30.5098754 59.9091794, 30.5098044 59.9094325)",,,,,,,,,,
12623,8895545253,327883,path_8895545253,,,,,,"LINESTRING (30.2769475 59.9424368, 30.2762043 59.9423469)",,,,,,,,,,
12624,8895546726,327895,path_8895546726,,,,,,"LINESTRING (30.2767578 59.9423377, 30.2762043 59.9423469)",,,,,,,,,,
12625,8897360952,327904,path_8897360952,,,,,,"LINESTRING (30.1480173 59.8587031, 30.1484071 59.857664)",,,,,,,,,,
12626,8898735111,327910,path_8898735111,,,,,,"LINESTRING (30.2842312 59.9443948, 30.2837367 59.9445636)",,,,,,,,,,
12627,8900982930,327942,path_8900982930,,,,,,"LINESTRING (30.1718788 59.8674688, 30.1738976 59.8673132)",,,,,,,,,,
12628,8900982931,327946,path_8900982931,,,,,,"LINESTRING (30.1727392 59.8636812, 30.1738976 59.8673132)",,,,,,,,,,
12629,8902505573,327959,path_8902505573,,,,,,"LINESTRING (30.2852092 59.9393745, 30.28469 59.9393019)",,,,,,,,,,
12630,8902505574,327969,path_8902505574,,,,,,"LINESTRING (30.2857277 59.9393915, 30.2859719 59.9396796)",,,,,,,,,,
12631,8902505575,327984,path_8902505575,,,,,,"LINESTRING (30.3343367 59.9364056, 30.3359158 59.9361277)",,,,,,,,,,
12632,8905134217,327989,path_8905134217,,,,,,"LINESTRING (30.4319651 59.9320783, 30.4328128 59.9328089)",,,,,,,,,,
12633,8905542547,328113,path_8905542547,,,,,,"LINESTRING (30.376178 59.9131422, 30.3747412 59.9131096)",,,,,,,,,,
12634,8906796005,328159,path_8906796005,,,,,,"LINESTRING (30.3973863 59.9105927, 30.3976737 59.9107189)",,,,,,,,,,
12635,8907965029,334392,path_8907965029,,,,,,"LINESTRING (30.4105752 59.9301375, 30.4113634 59.929334)",,,,,,,,,,
12636,8909142517,334403,path_8909142517,,,,,,"LINESTRING (30.1980832 59.9373951, 30.2033112 59.936414)",,,,,,,,,,
12637,8909828699,334404,path_8909828699,,,,,,"LINESTRING (30.3774061 59.8687291, 30.3788136 59.8708302)",,,,,,,,,,
12638,8914737563,334420,path_8914737563,,,,,,"LINESTRING (30.3304785 59.8484072, 30.3302127 59.8475395)",,,,,,,,,,
12639,8915918999,342397,path_8915918999,,,,,,"LINESTRING (30.3465738 59.9359529, 30.3479767 59.9360483)",,,,,,,,,,
12640,8922706464,342401,path_8922706464,,,,,,"LINESTRING (30.4088084 59.9243545, 30.409874 59.9227817)",,,,,,,,,,
12641,8922706465,352033,path_8922706465,,,,,,"LINESTRING (30.3732061 59.8660591, 30.3728172 59.8651481)",,,,,,,,,,
12642,8922706467,352056,path_8922706467,,,,,,"LINESTRING (30.3803489 59.8442382, 30.379304 59.8462757)",,,,,,,,,,
12643,8922706468,352099,path_8922706468,,,,,,"LINESTRING (30.3834414 59.8501427, 30.3844183 59.8508835)",,,,,,,,,,
12644,8925591717,352116,path_8925591717,,,,,,"LINESTRING (30.2072907 59.8276824, 30.2046114 59.8272473)",,,,,,,,,,
