,element_type,osmid,geometry,name,amenity,landuse,shop
86,node,486557633,POINT (30.3547737 59.9360767),Ливерпуль,pub,,
87,node,486709733,POINT (30.3220903 59.8487909),Coffeeshop Company,cafe,,
88,node,486709871,POINT (30.3222502 59.8490855),Райффайзен,bank,,
89,node,487255525,POINT (30.2957589 59.9266046),Shamrock,pub,,
90,node,487267451,POINT (30.3000892 59.9333689),Строганов Стейк Хаус,restaurant,,
91,node,487268384,POINT (30.2974224 59.9325747),Русская Рюмочная №1,restaurant,,
92,node,487274535,POINT (30.2844056 59.917214),Продукты,,,convenience
93,node,487274925,POINT (30.2893587 59.9178996),РеалЪ,,,supermarket
94,node,489357017,POINT (30.4263014 59.8290147),Прагматика,,,car
95,node,489358354,POINT (30.2828323 59.944544),Сбербанк,bank,,
96,node,489361459,POINT (30.2770784 59.9428555),Сбербанк,bank,,
97,node,490670904,POINT (30.5771521 59.7334049),Семишагофф,,,supermarket
98,node,497695708,POINT (30.3714069 59.9350026),Мисо,restaurant,,
99,node,505073897,POINT (30.3591809 59.8910788),Fit Service,,,car_repair
100,node,505178524,POINT (30.399088 59.8751414),Перекрёсток,pub,,
101,node,505178534,POINT (30.4027146 59.8730112),Ани,cafe,,
102,node,505178535,POINT (30.4028131 59.8730433),,pub,,
103,node,505178543,POINT (30.3988433 59.876155),,bank,,
104,node,505178561,POINT (30.399276 59.8756532),Дикси,,,supermarket
105,node,507091462,POINT (30.3197933 59.9037738),Grand Империал,cafe,,
106,node,510247577,POINT (30.4436667 59.8763468),Здоровые люди,pharmacy,,
107,node,510270596,POINT (30.4619525 59.8677478),,bar,,
108,node,510432203,POINT (30.362681 59.938823),Оба два,restaurant,,
109,node,513352931,POINT (30.4604779 59.906124),Продукты,,,convenience
110,node,517517766,POINT (30.4791166 59.9091262),Munhell,restaurant,,
111,node,518492980,POINT (30.4893328 59.9372476),Озерки,pharmacy,,
112,node,522606825,POINT (30.3914417 59.8727648),Пятёрочка,,,supermarket
113,node,522606826,POINT (30.4021717 59.8733461),Горные вершины,pharmacy,,
114,node,522606827,POINT (30.4060391 59.8711455),Магнит,,,supermarket
115,node,522606830,POINT (30.3987329 59.8755773),,pharmacy,,
116,node,522606978,POINT (30.4124569 59.8669142),,pub,,
117,node,522635680,POINT (30.4133188 59.8655265),Шаверлэнд,fast_food,,
118,node,524598539,POINT (30.3126445 59.8487739),Пятёрочка,,,supermarket
119,node,525359705,POINT (30.3024929 59.9321354),Продукты,,,convenience
120,node,525359854,POINT (30.3042383 59.9326612),Столовая на Почтамтской,cafe,,
121,node,525359952,POINT (30.303888 59.9325587),Вместе,,,convenience
122,node,525360782,POINT (30.3029782 59.9322805),Папарацци,cafe,,
123,node,527011738,POINT (30.6082289 59.7525055),Газпромнефть,fuel,,
124,node,548242849,POINT (30.4691225 59.8812352),Горные вершины,pharmacy,,
125,node,548250508,POINT (30.4731803 59.8782176),Продукты,,,convenience
126,node,553371613,POINT (30.3134708 59.8504711),Санкт-Петербург,bank,,
127,node,554247186,POINT (30.4572535 59.8799995),Сбербанк,bank,,
128,node,554247393,POINT (30.4681476 59.8817668),Solo,,,clothes
129,node,554254542,POINT (30.4624159 59.8803932),Кебаб,fast_food,,
130,node,560442878,POINT (30.3158476 59.9254398),Санкт-Петербург 190031,post_office,,
131,node,561414161,POINT (30.3060711 59.8598203),Удачная,pharmacy,,
132,node,564107831,POINT (30.3229253 59.8491892),Тили-тесто,fast_food,,
133,node,566444366,POINT (30.3210532 59.8486533),Теремок,fast_food,,
134,node,566444375,POINT (30.3224385 59.8457538),ВТБ,bank,,
135,node,566713983,POINT (30.3233746 59.8490882),Вояж,cafe,,
136,node,569256364,POINT (30.3243304 59.8491396),ИннФарм,pharmacy,,
137,node,569560956,POINT (30.3200277 59.851853),Сказки Шахерезады,restaurant,,
138,node,571202792,POINT (30.3308092 59.8468153),,cafe,,
139,node,571202794,POINT (30.3305281 59.8472275),Пятёрочка,,,supermarket
140,node,571614638,POINT (30.3305132 59.8474233),PulkoffClub,bar,,
141,node,571614644,POINT (30.3269934 59.8512848),Сбербанк,bank,,
142,node,575643791,POINT (30.4614602 59.9124835),Фармакор,pharmacy,,
143,node,575753926,POINT (30.4788423 59.9096801),Петербургские аптеки,pharmacy,,
144,node,575753937,POINT (30.4782404 59.9103627),Удачная аптека,pharmacy,,
145,node,579852128,POINT (30.4798804 59.883161),Фермер,,,convenience
146,node,579858198,POINT (30.4814132 59.8836698),Петербургские аптеки,pharmacy,,
147,node,579868588,POINT (30.4841741 59.8840723),Лев,cafe,,
148,node,599292697,POINT (30.3302258 59.8531955),Marco Polo,pub,,
149,node,604938969,POINT (30.3508704 59.8692524),Ашан,,,supermarket
150,node,605004736,POINT (30.3433757 59.9277133),Mollie's Pub,pub,,
151,node,605004737,POINT (30.3437479 59.9291174),Счастье,restaurant,,
152,node,610288717,POINT (30.4739986 59.9433448),Продукты,,,convenience
153,node,610298724,POINT (30.473551 59.9475457),Евразия,restaurant,,
154,node,610298734,POINT (30.4749984 59.9465681),Радуга,pharmacy,,
155,node,610299678,POINT (30.4691378 59.9464091),Градусы,,,alcohol
156,node,610299679,POINT (30.469366 59.9464996),Верный,,,supermarket
157,node,610509918,POINT (30.2706915 59.890359),Магнит,,,supermarket
158,node,611223160,POINT (30.2745755 59.9376091),Женская консультация № 16,doctors,,
159,node,616507075,POINT (30.4075562 59.8360448),,pharmacy,,
160,node,616507112,POINT (30.4183779 59.8347284),Ширван,restaurant,,
161,node,616507115,POINT (30.385687 59.8295681),Озерки,pharmacy,,
162,node,616507120,POINT (30.3980625 59.8284987),Пятёрочка,,,supermarket
163,node,618581952,POINT (30.4414297 59.9316507),ТрансКредитБанк,bank,,
164,node,618601962,POINT (30.3220263 59.815021),Роснефть,fuel,,
165,node,619380584,POINT (30.4654371 59.9198296),Первая помощь,pharmacy,,
166,node,621446068,POINT (30.2904344 59.8120158),Пятёрочка,,,supermarket
167,node,621447681,POINT (30.2945449 59.8145379),Фармакор,pharmacy,,
168,node,622981715,POINT (30.3208061 59.9399571),Государственная академическая капелла Санкт-Петербурга,theatre,,
169,node,629032298,POINT (30.4385008 59.8734526),Уралсиб,bank,,
170,node,632754407,POINT (30.3525082 59.8732496),,car_wash,,
171,node,633147735,POINT (30.3112091 59.9334752),Токио-City,restaurant,,
172,node,633147736,POINT (30.3110817 59.933103),Калиостро,restaurant,,
173,node,633571432,POINT (30.4663315 59.866508),Ромашка,pharmacy,,
174,node,633582445,POINT (30.313389 59.8644392),Пятёрочка,,,supermarket
175,node,636823212,POINT (30.314548 59.862609),Алоэ,pharmacy,,
176,node,636823216,POINT (30.3146429 59.8646017),ЛекОптТорг,pharmacy,,
177,node,636823220,POINT (30.320121 59.8646047),Доктор Столетов,pharmacy,,
178,node,638315197,POINT (30.3140789 59.851476),Pro-Sushi,cafe,,
179,node,638466037,POINT (30.3909083 59.8581901),Bona Capona,restaurant,,
180,node,638679771,POINT (30.3787712 59.8554385),В шоколаде,,,beauty
181,node,638679785,POINT (30.3794036 59.8556815),Озерки,pharmacy,,
182,node,640444992,POINT (30.2234066 59.8562287),Пятёрочка,,,supermarket
183,node,641893513,POINT (30.477261 59.8830466),"Одежда, Обувь, Сумки",,,clothes
184,node,641900674,POINT (30.4753903 59.8826794),Ажур,cafe,,
185,node,642164934,POINT (30.31305 59.8687791),Пятёрочка,,,supermarket
186,node,642355840,POINT (30.3725092 59.8555305),Газпромбанк,bank,,
187,node,643024517,POINT (30.4037717 59.8637892),Вкусно — и точка,fast_food,,
188,node,643815000,POINT (30.3821077 59.8527835),Пятёрочка,,,supermarket
189,node,643977152,POINT (30.387962 59.8491209),Горздрав,pharmacy,,
190,node,646730288,POINT (30.3217891 59.9253529),Райффайзен,bank,,
191,node,646920899,POINT (30.31915 59.9215763),Диккенс,pub,,
192,node,648100755,POINT (30.3240576 59.8491339),МарВик,,,beauty
193,node,648215751,POINT (30.3209558 59.8498404),Хоум Кредит,bank,,
194,node,648241067,POINT (30.3205789 59.8513774),Альфа-Банк,bank,,
195,node,648241068,POINT (30.3205967 59.8511557),Кенгуру,,,clothes
196,node,648241078,POINT (30.3196525 59.8518479),Росбанк,bank,,
197,node,648241080,POINT (30.320481 59.8523748),Леди Шарм,,,clothes
198,node,648312445,POINT (30.325295 59.85308),ВТБ,bank,,
199,node,648312452,POINT (30.3250023 59.8537618),Петербургские аптеки,pharmacy,,
200,node,648312459,POINT (30.3268314 59.8536827),Профи Клиник,dentist,,
