field_1,element_type,osmid,name,amenity,landuse,shop,zone,field_1_2,start_node,end_node,osmid_2,maxspeed,lanes,highway,surface,oneway,name_2,smoothness,living_street,service,length (m),length (km),capacity (veh/h),maxspeed (km/h),flow_time (h),flow_time (s),distance
"32",node,"431100882",Автомойка,car_wash,,,"24","3916","309950267","309950265",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","0","[ ""Кудровский проезд"" ]",,,,191.536,0.191536,"1800","60",0.00319226666666667,11.49216,0.000268068774017593
"32",node,"431100882",Автомойка,car_wash,,,"24","3914","309950265","309950267",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","0","[ ""Кудровский проезд"" ]",,,,191.536,0.191536,"1800","60",0.00319226666666667,11.49216,0.000268068774017593
"33",node,"436839390",ПТК,fuel,,,"26","23855","9589403648","4576683567",,,"1","[ ""unclassified"" ]","[ ""compacted"" ]","0",,,,,203.545,0.203545,"1800","60",0.00339241666666667,12.2127,0.000266973056710272
"35",node,"441595399",Государственная аптека,pharmacy,,,"29","24001","9798555325","259688256",,,"1","[ ""residential"" ]","[ ""asphalt"" ]","1",,,,,654.296,0.654296,"1800","60",0.0109049333333333,39.25776,0.000757835840313834
"36",node,"441595403",Евразия,restaurant,,,"30","3355","259688029","259688159",,,"3","[ ""primary"" ]","[ ""asphalt"" ]","1","[ ""проспект Большевиков"" ]",,,,630.96,0.63096,"4000","60",0.010516,37.8576,0.000768286810312134
"36",node,"441595403",Евразия,restaurant,,,"30","3354","259688029","259688159",,,"1","[ ""residential"" ]","[ ""asphalt"" ]","1",,,,,649.891,0.649891,"1800","60",0.0108315166666667,38.99346,0.000768286810312134
"37",node,"441595408",Продукты,,,convenience,"29","25071","10242568363","10242568366",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""улица Подвойского"" ]",,,,104.205,0.104205,"3600","60",0.00173675,6.2523,0.0002362520898427
"38",node,"441597759",Пятёрочка,,,supermarket,"24","4238","389424573","10242786342",,,"1","[ ""residential"" ]","[ ""asphalt"" ]","0","[ ""улица Шотмана"" ]",,,,810.302,0.810302,"1800","60",0.0135050333333333,48.61812,0.000511234225336974
"38",node,"441597759",Пятёрочка,,,supermarket,"24","25310","10242786342","389424573",,,"1","[ ""residential"" ]","[ ""asphalt"" ]","0","[ ""улица Шотмана"" ]",,,,810.302,0.810302,"1800","60",0.0135050333333333,48.61812,0.000511234225336974
"43",node,"442515597",Ашан,,,supermarket,"113","14279","1920083300","625813969",,,"2","[ ""unclassified"" ]","[ ""asphalt"" ]","0",,,,,547.203,0.547203,"1800","60",0.00912005,32.83218,0.000763680910746549
"43",node,"442515597",Ашан,,,supermarket,"113","5541","625813969","1920083300",,,"2","[ ""unclassified"" ]","[ ""asphalt"" ]","0",,,,,547.203,0.547203,"1800","60",0.00912005,32.83218,0.000763680910746549
"44",node,"442971447",Диета 18,,,supermarket,"23","15304","2153538989","649229893",,,"1","[ ""residential"" ]","[ ""asphalt"" ]","1",,,,,103.502,0.103502,"1800","60",0.00172503333333333,6.21012,3.89171171104003e-05
"47",node,"443212284",Камелот,pub,,,"29","25071","10242568363","10242568366",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""улица Подвойского"" ]",,,,104.205,0.104205,"3600","60",0.00173675,6.2523,0.000644955609133927
"48",node,"444551814",Технолог,,,convenience,"14","3334","258771363","258771362",,,"2","[ ""secondary"" ]","[ ""asphalt"" ]","1","[ ""улица Маршала Захарова"" ]",,,,162.037,0.162037,"3600","60",0.00270061666666667,9.72222,0.000250262477612243
"49",node,"444685619",Продукты,,,convenience,"5","4433","416865232","416865233",,,"1","[ ""tertiary"" ]","[ ""asphalt"" ]","0","[ ""Советский проспект"" ]",,,,100.762,0.100762,"1800","60",0.00167936666666667,6.04572,0.000235745699290565
"49",node,"444685619",Продукты,,,convenience,"5","4436","416865233","416865232",,,"1","[ ""tertiary"" ]","[ ""asphalt"" ]","0","[ ""Советский проспект"" ]",,,,100.762,0.100762,"1800","60",0.00167936666666667,6.04572,0.000235745699290565
"50",node,"444776751",Альфа-Банк,bank,,,"102","16531","2484899360","6989535865",,,"2","[ ""residential"" ]","[ ""asphalt"" ]","0","[ ""Казанская площадь"" ]",,,,127.276,0.127276,"1800","60",0.00212126666666667,7.63656,0.000171483651211586
"50",node,"444776751",Альфа-Банк,bank,,,"102","22405","6989535865","2484899360",,,"2","[ ""residential"" ]","[ ""asphalt"" ]","0","[ ""Казанская площадь"" ]",,,,127.276,0.127276,"1800","60",0.00212126666666667,7.63656,0.000171483651211586
"51",node,"444776757",Альфа-Банк,bank,,,"100","11205","1562060895","1562026715",,,"3","[ ""primary"" ]","[ ""asphalt"" ]","1","[ ""Лиговский проспект"" ]","[ ""very_good"" ]",,,342.721,0.342721,"4000","60",0.00571201666666667,20.56326,0.000222287589345079
"53",node,"444776759",Альфа-Банк,bank,,,"76","11392","1574337186","1901116637",,,"1","[ ""secondary_link"" ]","[ ""asphalt"" ]","1","[ ""Заневская площадь"" ]","[ ""very_good"" ]",,,50.118,0.050118,"1800","60",0.0008353,3.00708,0.000423273863354217
"54",node,"445388334",Горка,cafe,,,,"13951","1837292066","1187578946",,,"1","[ ""residential"" ]",,"0",,,,,198.36,0.19836,"1800","60",0.003306,11.9016,0.115092700255231
"54",node,"445388334",Горка,cafe,,,,"8307","1187578946","1837292066",,,"1","[ ""residential"" ]",,"0",,,,,198.36,0.19836,"1800","60",0.003306,11.9016,0.115092700255231
"55",node,"445388335",Минимаркет,,,convenience,,"13951","1837292066","1187578946",,,"1","[ ""residential"" ]",,"0",,,,,198.36,0.19836,"1800","60",0.003306,11.9016,0.115173628132704
"55",node,"445388335",Минимаркет,,,convenience,,"8307","1187578946","1837292066",,,"1","[ ""residential"" ]",,"0",,,,,198.36,0.19836,"1800","60",0.003306,11.9016,0.115173628132704
"56",node,"446064734",,cafe,,,"100","4352","411714266","1834821167",,,"2","[ ""residential"" ]","[ ""asphalt"" ]","1","[ ""улица Печатника Григорьева"" ]",,,,260.231,0.260231,"3600","60",0.00433718333333333,15.61386,0.000262078584276837
"58",node,"446064740",Simple Food Cafe,fast_food,,,"100","1569","22302435","1834821166",,,"2","[ ""residential"" ]","[ ""asphalt"" ]","1","[ ""Воронежская улица"" ]","[ ""good"" ]",,,192.541,0.192541,"3600","60",0.00320901666666667,11.55246,0.000233501584858107
"59",node,"446064741",Branch garage,pub,,,"100","13880","1834821167","1923946013",,,"2","[ ""residential"" ]","[ ""asphalt"" ]","1","[ ""улица Печатника Григорьева"" ]",,,,221.677,0.221677,"3600","60",0.00369461666666667,13.30062,0.000245658229028282
"60",node,"446064745",Магнит,,,supermarket,"100","13715","1832097212","8087585",,,"3","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""Боровая улица"" ]",,,,104.526,0.104526,"4000","60",0.0017421,6.27156,0.000263785135717358
"62",node,"448494839",Вера,,,convenience,"10","1630","22347621","18476902",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""Госпитальная улица"" ]",,,,157.137,0.157137,"3600","60",0.00261895,9.42822,0.000351564968110408
"63",node,"448497709",,pharmacy,,,"10","1630","22347621","18476902",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""Госпитальная улица"" ]",,,,157.137,0.157137,"3600","60",0.00261895,9.42822,0.000122999009794355
"64",node,"449631957",Сбербанк,bank,,,"3","4581","431288753","271960093",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","0","[ ""Центральная улица"" ]",,,,181.974,0.181974,"1800","60",0.0030329,10.91844,0.000248632195231435
"65",node,"451568012",Вкусно — и точка,fast_food,,,"74","8228","1181584037","106091888",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","0","[ ""Промышленная улица"" ]","[ ""excellent"" ]",,,203.772,0.203772,"1800","60",0.0033962,12.22632,0.000916737788699262
"65",node,"451568012",Вкусно — и точка,fast_food,,,"74","2211","106091888","1181584037",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","0","[ ""Промышленная улица"" ]","[ ""excellent"" ]",,,203.772,0.203772,"1800","60",0.0033962,12.22632,0.000916737788699262
"67",node,"455274074",Старгород,restaurant,,,"102","11506","1587451440","2277216493",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","0","[ ""Казанская улица"" ]",,,,384.037,0.384037,"1800","60",0.00640061666666667,23.04222,0.000380625748906555
"68",node,"455297491",Тара Бруч,pub,,,"97","20333","5002065979","5002065982",,,"3","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""2-я Советская улица"" ]",,,,19.067,0.019067,"4000","60",0.000317783333333333,1.14402,0.000124293508090487
"69",node,"455298814",Foggy New,pub,,,"97","1255","21729806","21729801",,,"4","[ ""tertiary"" ]","[ ""asphalt"" ]","0","[ ""улица Восстания"" ]","[ ""very_good"" ]",,,83.87,0.08387,"1800","60",0.00139783333333333,5.0322,0.000298004394652572
"69",node,"455298814",Foggy New,pub,,,"97","1252","21729801","21729806",,,"4","[ ""tertiary"" ]","[ ""asphalt"" ]","0","[ ""улица Восстания"" ]","[ ""very_good"" ]",,,83.87,0.08387,"1800","60",0.00139783333333333,5.0322,0.000298004394652572
"70",node,"455299275",Хлебник,,,bakery,"101","1235","21729430","332684",,,"2","[ ""residential"" ]","[ ""asphalt"" ]","0","[ ""Ковенский переулок"" ]",,,,291.588,0.291588,"1800","60",0.0048598,17.49528,0.000113499500663147
"70",node,"455299275",Хлебник,,,bakery,"101","608","332684","21729430",,,"2","[ ""residential"" ]","[ ""asphalt"" ]","0","[ ""Ковенский переулок"" ]",,,,291.588,0.291588,"1800","60",0.0048598,17.49528,0.000113499500663147
"71",node,"455314487",Тарелка,fast_food,,,"102","4504","421265061","2277216489",,,"2","[ ""residential"" ]","[ ""asphalt"" ]","1","[ ""набережная канала Грибоедова"" ]",,,,454.6,0.4546,"3600","60",0.00757666666666667,27.276,1.38752354521012e-05
"73",node,"459794831",Первая помощь,pharmacy,,,"70","17701","3536076895","2380849650",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""улица Лёни Голикова"" ]",,,,96.286,0.096286,"3600","60",0.00160476666666667,5.77716,0.00030961775876666
"74",node,"459796018",Первая помощь,pharmacy,,,"70","15881","2380849688","2380849685",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""улица Лёни Голикова"" ]",,,,82.067,0.082067,"3600","60",0.00136778333333333,4.92402,0.00289223636064568
"76",node,"459809259",Перекрёсток,,,supermarket,"70","18791","3818353831","3818353829",,,"2","[ ""primary"" ]","[ ""asphalt"" ]","1","[ ""Дачный проспект"" ]",,,,11.283,0.011283,"3600","60",0.00018805,0.67698,0.000445317948217205
"77",node,"459964645",Мини Лента,,,convenience,"70","17693","3536076789","3536076781",,,"2","[ ""secondary"" ]","[ ""asphalt"" ]","1","[ ""проспект Ветеранов"" ]",,,,481.78,0.48178,"3600","60",0.00802966666666667,28.9068,0.00038870607326128
"77",node,"459964645",Мини Лента,,,convenience,"70","17692","3536076789","3536076781",,,"1","[ ""residential"" ]","[ ""asphalt"" ]","1",,,,,491.868,0.491868,"1800","60",0.0081978,29.51208,0.00038870607326128
"79",node,"463252327",Азия плов,cafe,,,"43","26391","11397746718","1636659324",,,"2","[ ""primary"" ]","[ ""asphalt"" ]","1","[ ""Лермонтовский проспект"" ]",,,,190.175,0.190175,"3600","60",0.00316958333333333,11.4105,0.000142437612608544
"80",node,"463252332",Mossmoda,,,clothes,"45","18164","3692812910","3692812913",,,"2","[ ""primary"" ]","[ ""asphalt"" ]","1","[ ""Лермонтовский проспект"" ]",,,,78.104,0.078104,"3600","60",0.00130173333333333,4.68624,0.000161493791939204
"81",node,"469739698",Вкусно — и точка,fast_food,,,"18","5446","582997570","1911633802",,,"3","[ ""secondary"" ]","[ ""asphalt"" ]","1","[ ""проспект Маршала Жукова"" ]",,,,294.853,0.294853,"4000","60",0.00491421666666667,17.69118,0.00087872936765371
"84",node,"469751000",Капуста,fast_food,,,"42","11303","1570984707","308641585",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","0","[ ""улица Ефимова"" ]",,,,414.855,0.414855,"1800","60",0.00691425,24.8913,0.0010170273596587
"84",node,"469751000",Капуста,fast_food,,,"42","3891","308641585","1570984707",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","0","[ ""улица Ефимова"" ]",,,,414.855,0.414855,"1800","60",0.00691425,24.8913,0.0010170273596587
"86",node,"486557633",Ливерпуль,pub,,,"101","23504","8838493703","8838493699",,,"2","[ ""secondary"" ]","[ ""asphalt"" ]","0","[ ""улица Жуковского"" ]",,,,125.594,0.125594,"1800","60",0.00209323333333333,7.53564,0.000146280513322633
"86",node,"486557633",Ливерпуль,pub,,,"101","23490","8838493699","8838493703",,,"2","[ ""secondary"" ]","[ ""asphalt"" ]","0","[ ""улица Жуковского"" ]",,,,125.594,0.125594,"1800","60",0.00209323333333333,7.53564,0.000146280513322633
"89",node,"487255525",Shamrock,pub,,,"47","19037","4112024646","4112024642",,,"3","[ ""secondary"" ]","[ ""asphalt"" ]","1","[ ""улица Декабристов"" ]",,,,83.803,0.083803,"4000","60",0.00139671666666667,5.02818,0.000117488657414988
"92",node,"487274535",Продукты,,,convenience,"43","11159","1559611196","1559587125",,,"1","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""Садовая улица"" ]",,,,338.889,0.338889,"1800","60",0.00564815,20.33334,1.80326207329338e-05
