name_1,geometry
Столовая Ложка,"LINESTRING (30.3155101 59.9326804, 30.31549461344727 59.9327594186798)"
Лайм,"LINESTRING (30.418068 59.7254629, 30.41836664912098 59.726368050464686)"
Лайм,"LINESTRING (30.418068 59.7254629, 30.41836664912098 59.726368050464686)"
Гастрономъ №42,"LINESTRING (30.2374852 59.9375965, 30.23746809444626 59.93777236227856)"
Кебаб,"LINESTRING (30.2344669 59.9372825, 30.234467731922518 59.93761426110045)"
ББР Банк,"LINESTRING (30.3179005 59.9362489, 30.317911705013007 59.93634007415841)"
Север-Метрополь,"LINESTRING (30.3137505 59.9344236, 30.313808568773318 59.934265096147506)"
Jérôme,"LINESTRING (30.3131432 59.9342883, 30.313198902629534 59.93437178189729)"
Евразия,"LINESTRING (30.3160576 59.93527, 30.316116050241757 59.935110454895664)"
Винлаб,"LINESTRING (30.3058882 59.9243299, 30.30588934966938 59.92441982734999)"
Винлаб,"LINESTRING (30.3058882 59.9243299, 30.30588934966938 59.92441982734999)"
Продукты,"LINESTRING (30.3248417 59.929908, 30.324883043708827 59.929809514320176)"
Невис,"LINESTRING (30.3280892 59.9319136, 30.32811664006112 59.93199406126647)"
Невис,"LINESTRING (30.3280892 59.9319136, 30.32811664006112 59.93199406126647)"
,"LINESTRING (30.4143812 59.9268569, 30.41434621772156 59.92681972495074)"
Приют комедианта,"LINESTRING (30.3230078 59.9291358, 30.32304751614574 59.92904077145551)"
Ворон и ворон,"LINESTRING (30.3211077 59.9307805, 30.321084555163885 59.93086167156581)"
Фиалка,"LINESTRING (30.3191992 59.928211, 30.31913925331208 59.928120289707586)"
Вита Экспресс,"LINESTRING (30.3453555 59.9285415, 30.345233964655755 59.927990117134165)"
Киликия,"LINESTRING (30.319713 59.930395, 30.31969306631181 59.930464909705776)"
БМ4,"LINESTRING (30.317885 59.9373704, 30.31777662504692 59.93644482077617)"
Тепло,"LINESTRING (30.3052693 59.9321985, 30.30536189178699 59.93180075702156)"
Жела,"LINESTRING (30.4062914 59.7223182, 30.406551915019012 59.72198588967556)"
Жела,"LINESTRING (30.4062914 59.7223182, 30.406551915019012 59.72198588967556)"
Chela,"LINESTRING (30.2958565 59.9268619, 30.29600468744277 59.92699639753487)"
Евразия,"LINESTRING (30.4062582 59.7249226, 30.406331347888326 59.72513833799642)"
Евразия,"LINESTRING (30.4062582 59.7249226, 30.406331347888326 59.72513833799642)"
,"LINESTRING (30.4082054 59.7236509, 30.408383061537606 59.723426750360055)"
"Ветеринарная клиника ""Манул""","LINESTRING (30.4076432 59.7232423, 30.40756436521224 59.723005771327514)"
Магнит,"LINESTRING (30.2346274 59.9433156, 30.234558096344795 59.943579655858194)"
Магнит,"LINESTRING (30.2346274 59.9433156, 30.234558096344795 59.943579655858194)"
Дача,"LINESTRING (30.2350716 59.943416, 30.234998322462328 59.94369519686255)"
Дача,"LINESTRING (30.2350716 59.943416, 30.234998322462328 59.94369519686255)"
Дача,"LINESTRING (30.2350716 59.943416, 30.234998322462328 59.94369519686255)"
Дача,"LINESTRING (30.2350716 59.943416, 30.234998322462328 59.94369519686255)"
Камю,"LINESTRING (30.248703 59.9352951, 30.248993688290312 59.934496493624)"
Пятёрочка,"LINESTRING (30.2426212 59.9381519, 30.242606495164466 59.9382766091383)"
Пятёрочка,"LINESTRING (30.2428933 59.9361109, 30.24316605471644 59.93623431943228)"
Пятёрочка,"LINESTRING (30.2428933 59.9361109, 30.24316605471644 59.93623431943228)"
Клиника Солнце,"LINESTRING (30.2491897 59.9354151, 30.249417240887087 59.93464990208664)"
Makas,"LINESTRING (30.2489094 59.9359422, 30.24938392577113 59.934638537902046)"
Мегалюкс,"LINESTRING (30.2387759 59.9352596, 30.23867166508132 59.93522326699137)"
,"LINESTRING (30.4021207 59.7263514, 30.40216572115344 59.726491699977714)"
,"LINESTRING (30.4021207 59.7263514, 30.40216572115344 59.726491699977714)"
Пятёрочка,"LINESTRING (30.3572146 59.9182547, 30.357337728117972 59.918177146142575)"
Империя платья,"LINESTRING (30.3529565 59.9216903, 30.352914948946772 59.92159577056034)"
Продукты,"LINESTRING (30.352257 59.9221372, 30.352350909130077 59.92207509342993)"
FreshAuto,"LINESTRING (30.3581062 59.9164642, 30.35698599667445 59.9171697499951)"
,"LINESTRING (30.3457609 59.8718638, 30.345723569944287 59.87215602534975)"
Автозапчасти,"LINESTRING (30.4071999 59.7271142, 30.407327374948945 59.72694430582007)"
,"LINESTRING (30.4067633 59.7267831, 30.40688908974545 59.7266154518007)"
,"LINESTRING (30.4067633 59.7267831, 30.40688908974545 59.7266154518007)"
Эдифарм,"LINESTRING (30.4067701 59.7262913, 30.406655940726406 59.726434969261774)"
Домашний любимец,"LINESTRING (30.4070465 59.7269882, 30.407168741864616 59.72682528029292)"
Домашний любимец,"LINESTRING (30.4070465 59.7269882, 30.407168741864616 59.72682528029292)"
Мидийное место,"LINESTRING (30.3070961 59.9081215, 30.307102673718116 59.90842178407241)"
The Templet Bar,"LINESTRING (30.2451531 59.8463984, 30.245346351692927 59.84676637458343)"
Кворум,"LINESTRING (30.6185058 59.7578733, 30.618278738334972 59.757911513392486)"
Кворум,"LINESTRING (30.6185058 59.7578733, 30.618278738334972 59.757911513392486)"
,"LINESTRING (30.6186378 59.7578193, 30.61877311982307 59.7575099878651)"
,"LINESTRING (30.6186378 59.7578193, 30.61877311982307 59.7575099878651)"
Шашлычная,"LINESTRING (30.5902171 59.6982473, 30.5708814 59.7221588)"
Шашлычная,"LINESTRING (30.5902171 59.6982473, 30.5708814 59.7221588)"
Шашлычная,"LINESTRING (30.5902171 59.6982473, 30.5708814 59.7221588)"
Шашлычная,"LINESTRING (30.5902171 59.6982473, 30.5708814 59.7221588)"
Бургер Кинг,"LINESTRING (30.3820927 59.8299495, 30.381751765729067 59.82960349904847)"
Дикси,"LINESTRING (30.5784058 59.7412485, 30.578416950438914 59.74159623635229)"
Теремок,"LINESTRING (30.3247496 59.8535234, 30.32475150899986 59.85339206538523)"
Столовая,"LINESTRING (30.3349516 59.9355555, 30.33550994894605 59.935286208500045)"
Магнит,"LINESTRING (30.3789094 59.8582713, 30.378370896226958 59.85786097624744)"
Bollywood Nights,"LINESTRING (30.3513644 59.9220921, 30.351401069124964 59.92217557146737)"
Невис,"LINESTRING (30.2693815 59.8380012, 30.269990211691912 59.83733637397539)"
Невис,"LINESTRING (30.2693815 59.8380012, 30.269990211691912 59.83733637397539)"
Пятёрочка,"LINESTRING (30.2699787 59.8382066, 30.27041737639756 59.83772748404189)"
Пятёрочка,"LINESTRING (30.2699787 59.8382066, 30.27041737639756 59.83772748404189)"
Семишагофф,"LINESTRING (30.2704824 59.8384653, 30.270820226031773 59.8380963313393)"
Семишагофф,"LINESTRING (30.2704824 59.8384653, 30.270820226031773 59.8380963313393)"
Невис,"LINESTRING (30.4002323 59.8340076, 30.40075124936252 59.83453725489853)"
Васаби,"LINESTRING (30.4461828 59.9129376, 30.44595781232641 59.91389488228091)"
Университетская Аптека,"LINESTRING (30.445929 59.9132029, 30.445776386701848 59.9138522422676)"
Перекрёсток,"LINESTRING (30.4038685 59.8364684, 30.40394031124167 59.836188845095876)"
Manneken Pis,"LINESTRING (30.3223017 59.9333028, 30.32234279841846 59.93323519697151)"
Felicita,"LINESTRING (30.3249171 59.929935, 30.324956783245327 59.92984046974366)"
Кофейня на Садовой,"LINESTRING (30.3249345 59.9300473, 30.324985070250776 59.93012920642204)"
Сбербанк,"LINESTRING (30.3222061 59.9327781, 30.32204009073523 59.93305116960891)"
Сулико,"LINESTRING (30.3229252 59.9332975, 30.322939148021007 59.93337266416641)"
Народная аптека,"LINESTRING (30.3083598 59.9277799, 30.308267103250934 59.92778403831277)"
ВТБ,"LINESTRING (30.2971234 59.9268848, 30.29715205646266 59.92677146954246)"
ВТБ,"LINESTRING (30.2971234 59.9268848, 30.29715205646266 59.92677146954246)"
Кофе Хауз,"LINESTRING (30.2685565 59.8499931, 30.26887806878893 59.8499958671277)"
Kimchi to go,"LINESTRING (30.3215758 59.924529, 30.32189249967738 59.92510584255724)"
Kimchi to go,"LINESTRING (30.3215758 59.924529, 30.32189249967738 59.92510584255724)"
Спорт-Бар,"LINESTRING (30.3203344 59.9263962, 30.320150921351477 59.92606200864973)"
Barashki,"LINESTRING (30.3206191 59.9266368, 30.32026818129166 59.92599763027688)"
Barashki,"LINESTRING (30.3206191 59.9266368, 30.32026818129166 59.92599763027688)"
ПТК,"LINESTRING (30.2580587 59.8596887, 30.25811397214803 59.85958333927916)"
Линдфорс,"LINESTRING (30.3012239 59.9278184, 30.301242283377633 59.92773859579131)"
Сити-Фарм,"LINESTRING (30.307984 59.9261021, 30.308103846397877 59.92609643909782)"
1913 год,"LINESTRING (30.3080573 59.929123, 30.30801875235998 59.92929226846789)"
Продукты,"LINESTRING (30.46135 59.9108977, 30.461630177701643 59.91115967983201)"
Алоэ,"LINESTRING (30.3107238 59.928896, 30.31074951249165 59.9288007253719)"
Волна,"LINESTRING (30.4698178 59.9120284, 30.469918520083397 59.91160170209159)"
,"LINESTRING (30.4549388 59.9048062, 30.45469349333346 59.904507393737816)"
Булочная Ф. Вольчека,"LINESTRING (30.3113486 59.9276054, 30.311414692446036 59.92768109807268)"
Сеть магазинов разливного пива,"LINESTRING (30.4765308 59.9057512, 30.476620050983144 59.90537323453577)"
Горные вершины,"LINESTRING (30.4782705 59.9043596, 30.478001909925673 59.90549728641239)"
Цех85,"LINESTRING (30.479921 59.905591, 30.479840641044422 59.90593138224273)"
Продукты,"LINESTRING (30.4805444 59.9065719, 30.48060523391652 59.906314276849095)"
Продукты,"LINESTRING (30.4779103 59.9060671, 30.477997348201477 59.90569846300888)"
Бистро,"LINESTRING (30.4731562 59.9159429, 30.473556895578014 59.91631723949288)"
Диван,"LINESTRING (30.4771777 59.9137886, 30.47728215027941 59.913339491022754)"
Гнездо,"LINESTRING (30.4738129 59.9173846, 30.47331397131399 59.916918665235734)"
Гнездо,"LINESTRING (30.4738129 59.9173846, 30.47331397131399 59.916918665235734)"
Бистро,"LINESTRING (30.4805401 59.9080155, 30.480853287753046 59.90835943706085)"
Озерки,"LINESTRING (30.4726596 59.9187387, 30.472101244380266 59.91821726817747)"
Озерки,"LINESTRING (30.4726596 59.9187387, 30.472101244380266 59.91821726817747)"
Шумли,"LINESTRING (30.3125264 59.9291766, 30.312500331442656 59.92927321976271)"
Хачапури & вино,"LINESTRING (30.3142234 59.9298314, 30.314246861381907 59.92974444339849)"
ШарБар,"LINESTRING (30.3136954 59.9307694, 30.31358382347616 59.930662136704136)"
Совкомбанк,"LINESTRING (30.3185749 59.9278074, 30.31889037122434 59.92828476560602)"
Пятёрочка,"LINESTRING (30.2691601 59.8815762, 30.269514275018203 59.88121549463981)"
Аллегро,"LINESTRING (30.315315 59.9291195, 30.315204678576496 59.92900898614842)"
Радуга,"LINESTRING (30.4491803 59.9095781, 30.448427548722627 59.908147278518996)"
Джукито,"LINESTRING (30.310361 59.928798, 30.310386690255942 59.928702807763706)"
Булочная Ф. Вольчека,"LINESTRING (30.316815 59.9274974, 30.3167248420053 59.92740942840114)"
Juno,"LINESTRING (30.3105901 59.9286512, 30.31056330842174 59.92875047305722)"
Вертинский,"LINESTRING (30.3122325 59.9294738, 30.3121538715633 59.92939138676981)"
Малатан,"LINESTRING (30.312642 59.9292064, 30.31261558197824 59.929304315007734)"
Продукты,"LINESTRING (30.3345279 59.770274, 30.332195819729826 59.770443326443214)"
Sabr,"LINESTRING (30.3075808 59.9263045, 30.307590661591107 59.92637987254097)"
Пятёрочка,"LINESTRING (30.3083673 59.92667, 30.308357507665637 59.92659238305309)"
Все твои друзья,"LINESTRING (30.3084269 59.9276112, 30.308259720330536 59.92761866349542)"
,"LINESTRING (30.464201 59.9013075, 30.463993297485402 59.90219881430424)"
Hochu Coffee,"LINESTRING (30.3169306 59.9273738, 30.316843004704847 59.92728832895339)"
Автомойка,"LINESTRING (30.5000348 59.9136231, 30.500007347844306 59.91375258492156)"
Versia,"LINESTRING (30.308796 59.9269081, 30.308768602055913 59.92700878200588)"
Дикси,"LINESTRING (30.4833202 59.9222406, 30.483216703079634 59.922679519945305)"
Дикси,"LINESTRING (30.4833202 59.9222406, 30.483216703079634 59.922679519945305)"
Ак Барс Банк,"LINESTRING (30.3528198 59.9303476, 30.35287513560306 59.93080296046825)"
Три кота,"LINESTRING (30.4196457 59.9206686, 30.42030813683207 59.92157921525274)"
Тан Жен,"LINESTRING (30.3051927 59.9278938, 30.305351136853943 59.92797124389183)"
Тан Жен,"LINESTRING (30.3051927 59.9278938, 30.305351136853943 59.92797124389183)"
Перекрёсток,"LINESTRING (30.2488187 59.8588463, 30.248821122536633 59.85947190865826)"
"Блины,Шаверма","LINESTRING (30.3248525 59.8507219, 30.324633548144938 59.85070923738468)"
"Блины,Шаверма","LINESTRING (30.3248525 59.8507219, 30.324633548144938 59.85070923738468)"
Проспект,"LINESTRING (30.4296666 59.898912, 30.429753096649257 59.899053257117856)"
Сбербанк,"LINESTRING (30.39662 59.9421453, 30.39697673783763 59.942135944938386)"
Сбербанк,"LINESTRING (30.39662 59.9421453, 30.39697673783763 59.942135944938386)"
Дикси,"LINESTRING (30.3117314 59.927631, 30.311619223786852 59.92750252051943)"
Фармакор,"LINESTRING (30.4910408 59.9208648, 30.49190008403949 59.921669467712185)"
Фармакор,"LINESTRING (30.4910408 59.9208648, 30.49190008403949 59.921669467712185)"
Продукты,"LINESTRING (30.4197325 59.9225835, 30.419665917556312 59.92249158307463)"
Люди любят,"LINESTRING (30.2807294 59.9410148, 30.279468472371786 59.93954562826349)"
Первая помощь,"LINESTRING (30.2820921 59.9393969, 30.282111889511786 59.939329735246226)"
Marketplace,"LINESTRING (30.2804844 59.9412184, 30.27922677031202 59.939753070863546)"
Kistochki,"LINESTRING (30.2801303 59.9410549, 30.279103671051093 59.93985872172468)"
Белорусский трикотаж,"LINESTRING (30.281576 59.9402196, 30.281860053678855 59.93925553400369)"
Белорусский трикотаж,"LINESTRING (30.281576 59.9402196, 30.281860053678855 59.93925553400369)"
Брюки,"LINESTRING (30.2794285 59.9415494, 30.27845524527786 59.94041518391998)"
Явмясо Vostok,"LINESTRING (30.2824865 59.9395067, 30.282504552663166 59.939445430035924)"
"Северо-западный окружной медицинский центр, стоматологическое отделение","LINESTRING (30.2840375 59.938191, 30.284033289900115 59.938190175309096)"
Art Boho,"LINESTRING (30.2669168 59.9412307, 30.267025212034014 59.94135831944994)"
Это взаимно,"LINESTRING (30.2841784 59.9380905, 30.284057455397804 59.938066808896124)"
Бистро шаверма,"LINESTRING (30.2816757 59.9392661, 30.281693290477637 59.93920639867376)"
"Филиал РАНХиГС, Северо-западный институт управления, юридический факультет","LINESTRING (30.2830356 59.9382023, 30.282869166084392 59.938766996291925)"
Aurveda,"LINESTRING (30.2842942 59.9379876, 30.284422632998808 59.938136799982274)"
Aurveda,"LINESTRING (30.2842942 59.9379876, 30.284422632998808 59.938136799982274)"
Продукты,"LINESTRING (30.2800321 59.9392784, 30.279925097726302 59.93915372613868)"
5 шагов,"LINESTRING (30.2847824 59.9375547, 30.28491708861768 59.93771116710392)"
Клиника доктора Пеля,"LINESTRING (30.283956 59.938198, 30.284028957742848 59.93821229124933)"
Клиника доктора Пеля,"LINESTRING (30.283956 59.938198, 30.284028957742848 59.93821229124933)"
Русские пироги,"LINESTRING (30.2770593 59.9418156, 30.276959247691185 59.94169901423239)"
Городская стоматологическая поликлиника №2,"LINESTRING (30.2774063 59.9415214, 30.277304473160292 59.94140274646356)"
Невский престиж,"LINESTRING (30.2792649 59.9399802, 30.279136476024796 59.93983056661071)"
X-act,"LINESTRING (30.2788051 59.9403342, 30.278696745815715 59.940207941003884)"
Китайская кухня,"LINESTRING (30.2769925 59.942076, 30.276792087061803 59.941842469194825)"
Толстый фраер,"LINESTRING (30.2771382 59.9417373, 30.2770433809226 59.94162681224561)"
Мадонна,"LINESTRING (30.2783808 59.9401281, 30.278464243729104 59.94022540932521)"
Пышки,"LINESTRING (30.2792796 59.9393554, 30.279363700064753 59.939453236859656)"
Rostic`s,"LINESTRING (30.2759711 59.942175, 30.275943185889837 59.94227110904086)"
KwakInn,"LINESTRING (30.2780965 59.9382053, 30.27811142477304 59.938154467316195)"
Учкудук,"LINESTRING (30.2796073 59.9390739, 30.27969130651452 59.93917162802905)"
Глеже,"LINESTRING (30.2786654 59.9398795, 30.27875109340902 59.93997943282774)"
Milavitsa,"LINESTRING (30.2778338 59.9405877, 30.27792238756629 59.94069069173039)"
,"LINESTRING (30.2766221 59.9409055, 30.27706883270174 59.941424870560674)"
Перекрёсток,"LINESTRING (30.2757395 59.9417825, 30.27562447291595 59.94217854138038)"
Совкомбанк,"LINESTRING (30.279191 59.9394386, 30.279271620023355 59.93953238839284)"
МедИнфо,"LINESTRING (30.2793652 59.9393024, 30.27943912606654 59.93938840105384)"
Солидарность,"LINESTRING (30.2772354 59.9410919, 30.277329183132597 59.941200932085565)"
ПиццаН,"LINESTRING (30.2762145 59.9419852, 30.276300778213812 59.94208550688174)"
Лион,"LINESTRING (30.2779638 59.9403985, 30.278090643324113 59.94054596779922)"
Нимфа,"LINESTRING (30.2766842 59.9410984, 30.277009159867273 59.94147619770276)"
Vitality Art,"LINESTRING (30.2743358 59.9412795, 30.274186725972555 59.94110683429958)"
Quzu,"LINESTRING (30.2739887 59.9415982, 30.273960510646713 59.94169525671043)"
Posh,"LINESTRING (30.2754608 59.9402765, 30.275327411928714 59.94012200263282)"
Золотой гвоздь,"LINESTRING (30.2741731 59.9416456, 30.27414326137096 59.94174833521172)"
Бургер Кинг,"LINESTRING (30.2753379 59.941913, 30.275289069132274 59.94208112600631)"
Фасоль,"LINESTRING (30.2416155 59.8591803, 30.24161673721954 59.85949980610999)"
Дикси,"LINESTRING (30.2718469 59.8778768, 30.27180566430516 59.877717048031535)"
Вкусно — и точка,"LINESTRING (30.514804 59.8931891, 30.514968533539957 59.8925247081926)"
Мясорубка Angus,"LINESTRING (30.3205634 59.9256904, 30.32062463269833 59.925801930351355)"
Мясорубка Angus,"LINESTRING (30.3205634 59.9256904, 30.32062463269833 59.925801930351355)"
На Рижской,"LINESTRING (30.4183966 59.9225215, 30.41846735356843 59.92230840192052)"
Мароккино,"LINESTRING (30.2813704 59.9381376, 30.28125655836741 59.9380059945497)"
Петербург,"LINESTRING (30.2828245 59.9368729, 30.282714277265192 59.93674658076011)"
Гефест,"LINESTRING (30.2814872 59.9382811, 30.281465889115164 59.938353406041706)"
Облако счастья,"LINESTRING (30.2828569 59.9362772, 30.282956653242348 59.93639138367695)"
Факультет довузовского образования,"LINESTRING (30.279418 59.9372851, 30.279461 59.9377668)"
Факультет довузовского образования,"LINESTRING (30.279418 59.9372851, 30.279461 59.9377668)"
Крузенштерн,"LINESTRING (30.2826747 59.9364444, 30.28264988663504 59.93652728807588)"
Государственный университет Высшая школа экономики,"LINESTRING (30.2796848 59.9367644, 30.27948913695525 59.93653824873495)"
"Факультет филологии и искусств, институт искусств","LINESTRING (30.2831308 59.9360349, 30.28323197537065 59.936150572087215)"
Школа № 27 имени И. А. Бунина,"LINESTRING (30.2820403 59.936933, 30.282160473024675 59.93707319840351)"
O'yes,"LINESTRING (30.2829924 59.9361663, 30.28308844884228 59.936276111014166)"
Vinissimo,"LINESTRING (30.2829166 59.936232, 30.28301294631711 59.93634215111211)"
Продукты,"LINESTRING (30.2853496 59.9376295, 30.2853015305649 59.937790055374336)"
Jennet&Co,"LINESTRING (30.2858139 59.9377797, 30.285768905471592 59.93792998496459)"
Индустриальный сберегательный банк,"LINESTRING (30.2851401 59.9378913, 30.28518119835277 59.937754028542564)"
Индустриальный сберегательный банк,"LINESTRING (30.2851401 59.9378913, 30.28518119835277 59.937754028542564)"
Озерки,"LINESTRING (30.4643575 59.9011352, 30.464103653851645 59.902224530591596)"
Магнит,"LINESTRING (30.4788504 59.9226123, 30.47852094615199 59.92206645313729)"
Инвитро,"LINESTRING (30.4214408 59.8954002, 30.421367552772633 59.895619527692226)"
Инвитро,"LINESTRING (30.4214408 59.8954002, 30.421367552772633 59.895619527692226)"
A&V,"LINESTRING (30.2858 59.9372963, 30.285825575432696 59.93720741815925)"
Фундаментальная библиотека им. императрицы Марии Фёдоровны РГПУ им. А. И. Герцена,"LINESTRING (30.3204488 59.9348596, 30.320589926870866 59.93600569904277)"
Научная библиотека им. М. Горького СПбГУ,"LINESTRING (30.2985514 59.9422588, 30.29895415958456 59.94270888899243)"
Пятёрочка,"LINESTRING (30.443945 59.9221417, 30.443552511622347 59.92272864994994)"
Автозапчасти,"LINESTRING (30.4442346 59.922346, 30.443847007398343 59.92292558440972)"
Кузов,"LINESTRING (30.4292835 59.8991308, 30.429377142962753 59.89928361074962)"
Индиш,"LINESTRING (30.4295041 59.8990127, 30.42959013176795 59.89915309046358)"
Бегемот,"LINESTRING (30.4326268 59.8970886, 30.43271624249627 59.89723426585139)"
Продукты,"LINESTRING (30.4294526 59.8990367, 30.429541999503364 59.899182586083946)"
Наша столовая,"LINESTRING (30.4328153 59.8969847, 30.432899461296028 59.89712176490037)"
Студия загара «Sun-а-торий»,"LINESTRING (30.2813851 59.9415288, 30.28243595539588 59.94274059108893)"
Чайникофф,"LINESTRING (30.2807604 59.9415624, 30.282062765027106 59.94306421874744)"
Факультет филологии и искусств СПбГУ,"LINESTRING (30.2817915 59.940805, 30.282217045036163 59.93936071840886)"
Факультет филологии и искусств СПбГУ,"LINESTRING (30.2817915 59.940805, 30.282217045036163 59.93936071840886)"
Главный сервис,"LINESTRING (30.2809231 59.9415405, 30.282166468934342 59.94297428756087)"
Парадиз,"LINESTRING (30.28101 59.941448, 30.282261853165767 59.94289157112964)"
Библиотека №2 имени Л.Н. Толстого,"LINESTRING (30.2814599 59.9409608, 30.2819541711576 59.939283264901974)"
Casa Nostra,"LINESTRING (30.2809679 59.941387, 30.28226801673353 59.94288622613371)"
Некабусик,"LINESTRING (30.2809233 59.9416944, 30.282090407761086 59.94304024719291)"
Твой мастер здесь,"LINESTRING (30.2818305 59.9411032, 30.28290083367719 59.942337452416915)"
,"LINESTRING (30.2814338 59.9417855, 30.282336693982508 59.94282666978087)"
,"LINESTRING (30.4769243 59.8583172, 30.476683181989156 59.85818866424661)"
ВТБ,"LINESTRING (30.4830962 59.9051164, 30.48359461132681 59.90550550649975)"
Аркадия,"LINESTRING (30.4865444 59.8417848, 30.486694364091623 59.84232283731304)"
Чаман,"LINESTRING (30.3831712 59.8479063, 30.383269602418718 59.847523427355135)"
Сбербанк,"LINESTRING (30.3819529 59.8475882, 30.3820501009189 59.84721000225459)"
Автомойка,"LINESTRING (30.4580885 59.8941229, 30.458117634216375 59.893701229719426)"
Перекрёсток,"LINESTRING (30.377613 59.8305061, 30.3799327 59.8299191)"
Перекрёсток,"LINESTRING (30.377613 59.8305061, 30.3799327 59.8299191)"
Перекрёсток,"LINESTRING (30.377613 59.8305061, 30.3799327 59.8299191)"
ГрандМед,"LINESTRING (30.3203786 59.9280218, 30.320414878189812 59.92793565852536)"
Продукты,"LINESTRING (30.3304299 59.8489894, 30.330129646667466 59.84897199184515)"
Пятёрочка,"LINESTRING (30.2613906 59.9424286, 30.261746223679665 59.942837769422574)"
Библиотека имени А. А. Прокофьева,"LINESTRING (30.3834821 59.8467866, 30.38334407030381 59.8473239278679)"
Библиотека имени А. А. Прокофьева,"LINESTRING (30.3834821 59.8467866, 30.38334407030381 59.8473239278679)"
Сбербанк,"LINESTRING (30.1856634 59.8477844, 30.184917448417817 59.84790184028729)"
DGS,"LINESTRING (30.3034901 59.9283562, 30.30351189652896 59.928261650014726)"
Big Kitchen,"LINESTRING (30.357909 59.9267789, 30.357891514860654 59.92662902648654)"
Дикси,"LINESTRING (30.3559769 59.9270391, 30.355955410591534 59.92685490397582)"
Два гуся,"LINESTRING (30.3517353 59.927441, 30.35172467297834 59.9273492403342)"
Петербургские аптеки,"LINESTRING (30.3112712 59.8478791, 30.311388752192947 59.84817758836449)"
Норман,"LINESTRING (30.4059885 59.8480789, 30.404912731941018 59.846983545474856)"
Sela,"LINESTRING (30.5715429 59.8100235, 30.57158321041527 59.81018786415948)"
Sela,"LINESTRING (30.5715429 59.8100235, 30.57158321041527 59.81018786415948)"
Union,"LINESTRING (30.233917 59.851066, 30.23403371566681 59.85074435641145)"
Union,"LINESTRING (30.2340852 59.8511419, 30.23420668207805 59.85080712119439)"
КупецЪ,"LINESTRING (30.2471051 59.8523648, 30.247041031805963 59.85222720285023)"
КупецЪ,"LINESTRING (30.2471051 59.8523648, 30.247041031805963 59.85222720285023)"
Буборг Автосервис,"LINESTRING (30.338494 59.87278, 30.338504999832896 59.87199276395921)"
Пятёрочка,"LINESTRING (30.3746354 59.8548966, 30.374578175403283 59.855299338509205)"
Удачная,"LINESTRING (30.3854088 59.8387274, 30.385974957506107 59.83930217818106)"
Зимняя вишня,"LINESTRING (30.3850915 59.8386366, 30.385859305006075 59.839416096094354)"
Фиалка,"LINESTRING (30.3802265 59.8358746, 30.379909072945512 59.835705878642116)"
Пловдив,"LINESTRING (30.3979304 59.8380806, 30.397619235507058 59.83776723535408)"
Библиотека №5,"LINESTRING (30.2628273 59.9423508, 30.262746682667526 59.94225422257944)"
Подкова,"LINESTRING (30.5696218 59.811029, 30.569559070805187 59.810858484797414)"
Подкова,"LINESTRING (30.5696218 59.811029, 30.569559070805187 59.810858484797414)"
У Клюквы,"LINESTRING (30.5682284 59.8073027, 30.568328558881753 59.8075713898628)"
,"LINESTRING (30.5679791 59.8074243, 30.568069875824378 59.80766781853147)"
Эверест,"LINESTRING (30.5719488 59.8098413, 30.572008230996488 59.810083627590025)"
,"LINESTRING (30.5628131 59.751697, 30.562288821338807 59.75161192886131)"
Райский сад,"LINESTRING (30.3538158 59.9209929, 30.353977135095764 59.920889166446806)"
Felicita,"LINESTRING (30.3589786 59.9284758, 30.358999247619384 59.92861150433671)"
Oh! Mumbai,"LINESTRING (30.312396 59.9320687, 30.31238025297465 59.93214904771688)"
Ипполит,"LINESTRING (30.3182827 59.9307234, 30.31825507337285 59.9308258023911)"
ПокрышкинЪ,"LINESTRING (30.109431 59.8160315, 30.109319034776767 59.81571539814015)"
Волхонский Шиномонтажный Центр,"LINESTRING (30.110983 59.8172697, 30.11030833689945 59.81536498124269)"
Дикси,"LINESTRING (30.2684088 59.9399905, 30.268384191935315 59.9400757774062)"
Трикотаж,"LINESTRING (30.4168138 59.7265519, 30.416912006443432 59.726848630678454)"
Одежда для женщин,"LINESTRING (30.4169132 59.7265268, 30.41709371577984 59.72629848313506)"
Wake up!,"LINESTRING (30.4178936 59.7267372, 30.417798682736617 59.726856748382126)"
Северная Пальмира,"LINESTRING (30.4186888 59.7264496, 30.41863290748049 59.726280200070605)"
Сушишоп,"LINESTRING (30.4271152 59.7222308, 30.42725848492456 59.722403338050725)"
Компания,"LINESTRING (30.3217134 59.8572542, 30.32170961997368 59.85748029524966)"
Шанель,"LINESTRING (30.4269876 59.8985331, 30.427294018471716 59.89759892160733)"
Продукты,"LINESTRING (30.6560085 59.8638323, 30.6498942 59.7886644)"
Продукты,"LINESTRING (30.6560085 59.8638323, 30.6498942 59.7886644)"
Продукты,"LINESTRING (30.6560085 59.8638323, 30.6498942 59.7886644)"
Продукты,"LINESTRING (30.6560085 59.8638323, 30.6498942 59.7886644)"
,"LINESTRING (30.6892314 59.9159773, 30.6629963 59.7854536)"
,"LINESTRING (30.6892314 59.9159773, 30.6629963 59.7854536)"
Невис,"LINESTRING (30.4074383 59.704085, 30.40749261363901 59.70375879288819)"
Сбербанк,"LINESTRING (30.4036204 59.8498083, 30.40284276094579 59.849016502502536)"
Тан Жен,"LINESTRING (30.4199259 59.8337915, 30.420027190598308 59.83339516216646)"
