name_1,geometry
Вкусно — и точка,"LINESTRING (30.2290914 59.8582492, 30.22958347382436 59.85752116933241)"
Капуста,"LINESTRING (30.3210514 59.9244074, 30.321540855519988 59.92529890319363)"
Капуста,"LINESTRING (30.3210514 59.9244074, 30.321540855519988 59.92529890319363)"
Ливерпуль,"LINESTRING (30.3547737 59.9360767, 30.354771194519362 59.935930440945086)"
Ливерпуль,"LINESTRING (30.3547737 59.9360767, 30.354771194519362 59.935930440945086)"
Shamrock,"LINESTRING (30.2957589 59.9266046, 30.29578486206718 59.92649001572669)"
Продукты,"LINESTRING (30.2844056 59.917214, 30.28440225482875 59.91723171962866)"
РеалЪ,"LINESTRING (30.2893587 59.9178996, 30.289344610528158 59.918021188611085)"
Семишагофф,"LINESTRING (30.5771521 59.7334049, 30.578203345402837 59.733051243095176)"
Мисо,"LINESTRING (30.3714069 59.9350026, 30.371435733039917 59.935086667793136)"
Fit Service,"LINESTRING (30.3591809 59.8910788, 30.359448917005956 59.89134851905987)"
Перекрёсток,"LINESTRING (30.399088 59.8751414, 30.39979610586177 59.87607074235478)"
,"LINESTRING (30.3988433 59.876155, 30.399152658433838 59.87656101259062)"
Дикси,"LINESTRING (30.399276 59.8756532, 30.39966832660645 59.87616810285841)"
Grand Империал,"LINESTRING (30.3197933 59.9037738, 30.319784391696672 59.903853762021704)"
Оба два,"LINESTRING (30.362681 59.938823, 30.362679210871455 59.938745179381414)"
Munhell,"LINESTRING (30.4791166 59.9091262, 30.47952214917504 59.909571566684804)"
Пятёрочка,"LINESTRING (30.3914417 59.8727648, 30.39115016261161 59.87241583790503)"
Горные вершины,"LINESTRING (30.4021717 59.8733461, 30.40261259143906 59.87392474100595)"
,"LINESTRING (30.3987329 59.8755773, 30.399361302874805 59.87640203742833)"
,"LINESTRING (30.4124569 59.8669142, 30.412398962760967 59.86710348294921)"
Шаверлэнд,"LINESTRING (30.4133188 59.8655265, 30.413385363466183 59.86531919969201)"
Продукты,"LINESTRING (30.3024929 59.9321354, 30.302454630041286 59.932266087880805)"
Столовая на Почтамтской,"LINESTRING (30.3042383 59.9326612, 30.30420399099626 59.932778361636494)"
Вместе,"LINESTRING (30.303888 59.9325587, 30.303853712580494 59.93267578792861)"
Папарацци,"LINESTRING (30.3029782 59.9322805, 30.302940735729567 59.93240843654012)"
Газпромнефть,"LINESTRING (30.6082289 59.7525055, 30.608431183101207 59.75270366531396)"
Газпромнефть,"LINESTRING (30.6082289 59.7525055, 30.608431183101207 59.75270366531396)"
Горные вершины,"LINESTRING (30.4691225 59.8812352, 30.469046719452706 59.8815407625797)"
Сбербанк,"LINESTRING (30.4572535 59.8799995, 30.45738389254668 59.87945803183388)"
Solo,"LINESTRING (30.4681476 59.8817668, 30.468205374306073 59.88150745251021)"
Кебаб,"LINESTRING (30.4624159 59.8803932, 30.462453138174848 59.88022603871625)"
Санкт-Петербург 190031,"LINESTRING (30.3158476 59.9254398, 30.315818994570648 59.925702505111815)"
,"LINESTRING (30.3308092 59.8468153, 30.33025658790048 59.84678323075358)"
