geometry,element_type,osmid,name,amenity,landuse,shop,zone,field_1_2,start_node,end_node,osmid_2,maxspeed,lanes,highway,surface,oneway,name_2,smoothness,living_street,service,length (m),length (km),capacity (veh/h),maxspeed (km/h),flow_time (h),flow_time (s),distance
"LINESTRING (30.4741692 59.9433672, 30.47405179639886 59.94382161440216)",node,428970814,FOSP,,,clothes,79.0,11436,1581768943,1581768945,,,3,"[ ""primary"" ]","[ ""asphalt"" ]",1,"[ ""проспект Косыгина"" ]",,,,533.368,0.533368,4000,60,0.0088894666666666,32.00208,0.0004693357587632
"LINESTRING (30.4741153 59.9477852, 30.47421018369233 59.94742606773076)",node,430535263,Сбербанк,bank,,,79.0,24861,10240304080,10240304086,,,2,"[ ""tertiary"" ]","[ ""asphalt"" ]",1,"[ ""проспект Энтузиастов"" ]",,,,121.796,0.121796,3600,60,0.0020299333333333,7.30776,0.0003714551142172
"LINESTRING (30.4925689 59.8963785, 30.492575594097133 59.89652324502185)",node,431100875,,cafe,,,24.0,3914,309950265,309950267,,,2,"[ ""tertiary"" ]","[ ""asphalt"" ]",0,"[ ""Кудровский проезд"" ]",,,,191.536,0.191536,1800,60,0.0031922666666666,11.49216,0.0001448997318375
"LINESTRING (30.4925224 59.8961396, 30.49254021829067 59.896524881064884)",node,431100880,,,,car_repair,24.0,3916,309950267,309950265,,,2,"[ ""tertiary"" ]","[ ""asphalt"" ]",0,"[ ""Кудровский проезд"" ]",,,,191.536,0.191536,1800,60,0.0031922666666666,11.49216,0.0003856928706141
"LINESTRING (30.4925224 59.8961396, 30.49254021829067 59.896524881064884)",node,431100880,,,,car_repair,24.0,3914,309950265,309950267,,,2,"[ ""tertiary"" ]","[ ""asphalt"" ]",0,"[ ""Кудровский проезд"" ]",,,,191.536,0.191536,1800,60,0.0031922666666666,11.49216,0.0003856928706141
"LINESTRING (30.4925451 59.8962563, 30.492557484276972 59.89652408255598)",node,431100882,Автомойка,car_wash,,,24.0,3916,309950267,309950265,,,2,"[ ""tertiary"" ]","[ ""asphalt"" ]",0,"[ ""Кудровский проезд"" ]",,,,191.536,0.191536,1800,60,0.0031922666666666,11.49216,0.0002680687740175
"LINESTRING (30.4925451 59.8962563, 30.492557484276972 59.89652408255598)",node,431100882,Автомойка,car_wash,,,24.0,3914,309950265,309950267,,,2,"[ ""tertiary"" ]","[ ""asphalt"" ]",0,"[ ""Кудровский проезд"" ]",,,,191.536,0.191536,1800,60,0.0031922666666666,11.49216,0.0002680687740175
"LINESTRING (30.5317272 59.8300898, 30.531572221221104 59.82987241510839)",node,436839390,ПТК,fuel,,,26.0,23855,9589403648,4576683567,,,1,"[ ""unclassified"" ]","[ ""compacted"" ]",0,,,,,203.545,0.203545,1800,60,0.0033924166666666,12.2127,0.0002669730567102
"LINESTRING (30.471654 59.917244, 30.472207773746334 59.91776134881727)",node,441595399,Государственная аптека,pharmacy,,,29.0,24001,9798555325,259688256,,,1,"[ ""residential"" ]","[ ""asphalt"" ]",1,,,,,654.296,0.654296,1800,60,0.0109049333333333,39.25776,0.0007578358403138
"LINESTRING (30.4724255 59.9189957, 30.47186399034718 59.918471322719135)",node,441595403,Евразия,restaurant,,,30.0,3355,259688029,259688159,,,3,"[ ""primary"" ]","[ ""asphalt"" ]",1,"[ ""проспект Большевиков"" ]",,,,630.96,0.63096,4000,60,0.010516,37.8576,0.0007682868103121
"LINESTRING (30.4724255 59.9189957, 30.47186399034718 59.918471322719135)",node,441595403,Евразия,restaurant,,,30.0,3354,259688029,259688159,,,1,"[ ""residential"" ]","[ ""asphalt"" ]",1,,,,,649.891,0.649891,1800,60,0.0108315166666667,38.99346,0.0007682868103121
"LINESTRING (30.4697531 59.9118054, 30.469807374692838 59.91157546673213)",node,441595408,Продукты,,,convenience,29.0,25071,10242568363,10242568366,,,2,"[ ""tertiary"" ]","[ ""asphalt"" ]",1,"[ ""улица Подвойского"" ]",,,,104.205,0.104205,3600,60,0.00173675,6.2523,0.0002362520898427
"LINESTRING (30.4794242 59.9002424, 30.479306698465063 59.90073994780921)",node,441597759,Пятёрочка,,,supermarket,24.0,4238,389424573,10242786342,,,1,"[ ""residential"" ]","[ ""asphalt"" ]",0,"[ ""улица Шотмана"" ]",,,,810.302,0.810302,1800,60,0.0135050333333333,48.61812,0.0005112342253369
"LINESTRING (30.4794242 59.9002424, 30.479306698465063 59.90073994780921)",node,441597759,Пятёрочка,,,supermarket,24.0,25310,10242786342,389424573,,,1,"[ ""residential"" ]","[ ""asphalt"" ]",0,"[ ""улица Шотмана"" ]",,,,810.302,0.810302,1800,60,0.0135050333333333,48.61812,0.0005112342253369
"LINESTRING (30.5137657 59.8947048, 30.513574228199953 59.895444088227435)",node,442515597,Ашан,,,supermarket,113.0,14279,1920083300,625813969,,,2,"[ ""unclassified"" ]","[ ""asphalt"" ]",0,,,,,547.203,0.547203,1800,60,0.00912005,32.83218,0.0007636809107465
"LINESTRING (30.5137657 59.8947048, 30.513574228199953 59.895444088227435)",node,442515597,Ашан,,,supermarket,113.0,5541,625813969,1920083300,,,2,"[ ""unclassified"" ]","[ ""asphalt"" ]",0,,,,,547.203,0.547203,1800,60,0.00912005,32.83218,0.0007636809107465
