,id,y,x,street_count,lat,lon,geometry,highway,name,ref,zone
51,244274,59.8656379,30.4143779,4,59.8656379,30.4143779,POINT (30.4143779 59.8656379),traffic_signals,,,96
52,244283,59.8788329,30.4551119,4,59.8788329,30.4551119,POINT (30.4551119 59.8788329),traffic_signals,,,23
53,244284,59.8796907,30.4587462,3,59.8796907,30.4587462,POINT (30.4587462 59.8796907),,,,23
54,244288,59.8818613,30.4696778,4,59.8818613,30.4696778,POINT (30.4696778 59.8818613),traffic_signals,,,23
55,244308,59.9261743,30.4006676,4,59.9261743,30.4006676,POINT (30.4006676 59.9261743),traffic_signals,,,76
56,244309,59.9218671,30.407107,4,59.9218671,30.407107,POINT (30.407107 59.9218671),traffic_signals,,,76
57,244316,59.9271545,30.3998337,4,59.9271545,30.3998337,POINT (30.3998337 59.9271545),traffic_signals,,,76
58,244317,59.9262894,30.4010407,4,59.9262894,30.4010407,POINT (30.4010407 59.9262894),traffic_signals,,,76
59,244322,59.9314378,30.4097482,4,59.9314378,30.4097482,POINT (30.4097482 59.9314378),traffic_signals,,,76
60,244326,59.9341468,30.4026123,4,59.9341468,30.4026123,POINT (30.4026123 59.9341468),,,,76
61,244340,59.9400689,30.4040648,3,59.9400689,30.4040648,POINT (30.4040648 59.9400689),,,,76
62,244353,59.944012,30.4050821,3,59.944012,30.4050821,POINT (30.4050821 59.944012),,,,76
63,244360,59.9486084,30.4071712,3,59.9486084,30.4071712,POINT (30.4071712 59.9486084),,,,78
64,244407,59.9238546,30.3898122,3,59.9238546,30.3898122,POINT (30.3898122 59.9238546),,,,99
65,244408,59.9239719,30.3907003,3,59.9239719,30.3907003,POINT (30.3907003 59.9239719),,,,99
66,244409,59.9241414,30.3910316,3,59.9241414,30.3910316,POINT (30.3910316 59.9241414),,,,99
67,244445,59.9265879,30.3297422,3,59.9265879,30.3297422,POINT (30.3297422 59.9265879),,,,102
68,245884,59.9374672,30.3955815,4,59.9374672,30.3955815,POINT (30.3955815 59.9374672),traffic_signals,,,97
69,245890,59.9216651,30.3929454,3,59.9216651,30.3929454,POINT (30.3929454 59.9216651),,,,99
70,245893,59.9202313,30.3955089,3,59.9202313,30.3955089,POINT (30.3955089 59.9202313),,,,99
71,245900,59.9444284,30.3981241,3,59.9444284,30.3981241,POINT (30.3981241 59.9444284),,,,97
72,245940,59.9446764,30.3038409,3,59.9446764,30.3038409,POINT (30.3038409 59.9446764),,,,51
73,245941,59.9443259,30.3046732,3,59.9443259,30.3046732,POINT (30.3046732 59.9443259),,,,51
74,245943,59.9385369,30.2907489,3,59.9385369,30.2907489,POINT (30.2907489 59.9385369),,,,51
75,245944,59.9389014,30.2919899,3,59.9389014,30.2919899,POINT (30.2919899 59.9389014),,,,51
76,245965,59.9422004,30.3389252,5,59.9422004,30.3389252,POINT (30.3389252 59.9422004),traffic_signals,,,101
